"index","ncaa_name","espn_name","primary_color","secondary_color","tertiary_color","color_4","color_5","color_6","logo_url","color_3","conference"
"119","Idaho St.","Idaho State","#000000","#F9A81A",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Idaho_State_Bengals_logo.svg/254px-Idaho_State_Bengals_logo.svg.png",NA,"Big Sky"
"120","Illinois","Illinois","#13294B","#E84A27",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Illinois_Fighting_Illini_logo.svg/166px-Illinois_Fighting_Illini_logo.svg.png",NA,"Big 10"
"121","Illinois St.","Illinois State","#CE1126","#F9DD16","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Illinois_State_Athletics_logo.svg/320px-Illinois_State_Athletics_logo.svg.png",NA,"MVC"
"122","Indiana","Indiana","#990000","#EEEDEB",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Indiana_Hoosiers_logo.svg/190px-Indiana_Hoosiers_logo.svg.png",NA,"Big 10"
"123","Indiana St.","Indiana State","#0142BC","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Indiana_State_Sycamores_logo.svg/250px-Indiana_State_Sycamores_logo.svg.png",NA,"MVC"
"124","Iona","Iona","#6F2C3F","#F2A900",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Iona_College_Athletics_Primary_Logo.png/315px-Iona_College_Athletics_Primary_Logo.png",NA,"MAAC"
"125","Iowa","Iowa","#FFCD00","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Iowa_Hawkeyes_logo.svg/320px-Iowa_Hawkeyes_logo.svg.png",NA,"Big 10"
"126","Iowa St.","Iowa State","#C8102E","#F1BE48",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iowa_State_Cyclones_logo.svg/320px-Iowa_State_Cyclones_logo.svg.png",NA,"Big 12"
"127","IUPUI","IUPUI","#9D2235","#DFD1A7","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/IUPUI_Jaguars_logo.svg/300px-IUPUI_Jaguars_logo.svg.png",NA,"Horizon"
"128","Jackson St.","Jackson State","#002147","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Jackson_State_athletics_logo.svg/320px-Jackson_State_athletics_logo.svg.png",NA,"SWAC"
"129","Jacksonville","Jacksonville","#084E44","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Jacksonville_Dolphins_logo_2018.svg/320px-Jacksonville_Dolphins_logo_2018.svg.png",NA,"A-Sun"
"130","Jacksonville St.","Jacksonville St","#004E44","#898A8D","#BBBBBB","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/20/Jacksonville_State_Gamecocks_logo.svg/320px-Jacksonville_State_Gamecocks_logo.svg.png",NA,"A-Sun"
"131","James Madison","JMU","#450084","#CBB677",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/James_Madison_University_Athletics_logo.svg/320px-James_Madison_University_Athletics_logo.svg.png",NA,"Sunbelt"
"132","Kansas","Kansas","#0051BA","#E8000D","#FFC82D","#85898A",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Kansas_Jayhawks_1946_logo.svg/1920px-Kansas_Jayhawks_1946_logo.svg.png",NA,"Big 12"
"133","Kansas City","UMKC","#005293","#FECB00","#000000","#DCDDDE",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Kansas_City_Roos_logo.svg/254px-Kansas_City_Roos_logo.svg.png",NA,"Summit"
"134","Kansas St.","Kansas State","#512888","#D1D1D1","#A7A7A7","#FFFFFF","#000000",NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Kansas_State_Wildcats_logo.svg/320px-Kansas_State_Wildcats_logo.svg.png",NA,"Big 12"
"135","Kennesaw St.","Kennesaw State","#FDBB30","#0B1315","#C5C6C8",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Kennesaw_State_Owls_logo.svg/254px-Kennesaw_State_Owls_logo.svg.png",NA,"A-Sun"
"136","Kent St.","Kent State","#002664","#EAAB00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Kent_State_athletic_logo.svg/320px-Kent_State_athletic_logo.svg.png",NA,"MAC"
"137","Kentucky","Kentucky","#0033A0","#FFFFFF","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kentucky_Wildcats_logo.svg/293px-Kentucky_Wildcats_logo.svg.png",NA,"SEC"
"138","La Salle","La Salle","#FFCC00","#003366",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/b/bf/La_Salle_Explorers_wordmark.png",NA,"A-10"
"139","Lafayette","Lafayette","#910029","#A8996E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Lafayette_Leopards_logo.svg/320px-Lafayette_Leopards_logo.svg.png",NA,"Patriot"
"140","Lamar University","Lamar","#E31937","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Lamar_Cardinals_logo.svg/320px-Lamar_Cardinals_logo.svg.png",NA,"Southland"
"141","Lehigh","Lehigh","#4B2913","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/65/LehighMountainHawks.svg/245px-LehighMountainHawks.svg.png",NA,"Patriot"
"142","Liberty","Liberty","#990000","#0A254E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Liberty_Flames_logo.svg/266px-Liberty_Flames_logo.svg.png",NA,"A-Sun"
"143","Lipscomb","Lipscomb","#331E54","#F4AA00","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/1/1c/Lipscomb_L.png",NA,"A-Sun"
"144","Little Rock","Little Rock","#6E2639","#A7A9AC",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Little_Rock_Trojans_logo.svg/320px-Little_Rock_Trojans_logo.svg.png",NA,"OVC"
"145","LIU","LIU Brooklyn","#231F20","#8A8D8F",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/LIU_Brooklyn_Blackbirds_logo.svg/320px-LIU_Brooklyn_Blackbirds_logo.svg.png",NA,"NEC"
"146","LMU (CA)","Loyola Mary","#B62B3A","#00447C","#617080","#231F20",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/LMU_Lions_logo.svg/320px-LMU_Lions_logo.svg.png",NA,"WCC"
"147","Long Beach St.","Long Beach St","#FFC72A","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Long_Beach_State_Athletics_logo.svg/197px-Long_Beach_State_Athletics_logo.svg.png",NA,"Big West"
"148","Longwood","Longwood","#041E42","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Longwood_Lancers_logo.svg/320px-Longwood_Lancers_logo.svg.png",NA,"Big South"
"149","Louisiana","Louisiana","#CE181E","#0A0203","#C1C5C9","#F18C21",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Ragin_Cajuns_logo.svg/320px-Ragin_Cajuns_logo.svg.png",NA,"Sunbelt"
"150","Louisiana Tech","LA Tech","#E31B23","#A2AAAD","#111111",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Louisiana_Tech_Athletics_logo.svg/320px-Louisiana_Tech_Athletics_logo.svg.png",NA,"C-USA"
"151","Louisville","Louisville","#AD0000","#000000","#FDB913","#CCCCCC",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/218px-Louisville_Cardinals_logo.svg.png",NA,"ACC"
